article_date,article_description,article_title,article_url
2021-05-04,"WASHINGTON, D.C. —  Yesterday, at a roundtable with innovation leaders at Howard University, Secretary of Energy Jennifer M. Granholm highlighted the American Jobs Plan’s investments to bolster science, technology, engineering, and math (STEM) programs at historically Black colleges and universities (HBCUs) and other minority serving institutions (MSIs). Watch a recording of the event  HERE . If we don’t invest in STEM students and faculty from diverse backgrounds,  “We are missing out on untapped talent … leav[ing] us with narrower innovation, and insufficient solutions to the problems we face,” Secretary Granholm said. “We simply can’t abide blind spots like this—particularly as we work towards our transition to clean energy...an inclusive transition, offering benefits to every community.” Increasing diversity in STEM fields is a key priority for the U.S. Department of Energy (DOE) and the Biden-Harris Administration. As Secretary Granholm noted,  “We know that who’s at the table matters.” President Biden’s American Jobs Plan calls for a dedicated reserve of $20 billion in upgrading research infrastructure in laboratories at HBCUs and other MSIs, including the creation of a new HBCU-affiliated National Lab focused on climate. The plan also invests $10 billion in research and development at HBCUs and other MSIs and $15 billion to create up to 200 centers of excellence that serve as research incubators at HBCUs. Granholm also  announced $17.3 million  in DOE funding to support college internships, research projects and opportunities, and to bolster investment in underrepresented HBCUs and MSIs.   In The News Washington Post  |  Energy Department awards $17.3 million in research funding, targets students of color Biden’s proposal earmarks $40 billion to modernize laboratories throughout the country, a measure designed to increase research and development. Half of those dollars would be directed to historically Black schools and minority-serving institutions and help create a new national lab focused on climate change and affiliated with an HBCU, according to the White House. For universities such as Howard, the proposal would provide the resources students need, professors said. “Students need to have access to the latest and greatest of technologies so they can have hands-on training so that when they go into these corporations they are ready to go from day one,” said Quinton Williams, chair of Howard’s physics and astronomy department. E&E News  |  Granholm's first visit outside the office? Howard University Energy Secretary Jennifer Granholm made her first outside-the-agency stop yesterday, pitching President Biden's $2.2 trillion infrastructure plan at Howard University — one of the historically Black colleges and universities that could benefit from its passage. Granholm told a roundtable that Biden's plan calls for $40 billion to upgrade research infrastructure in laboratories across the country, with half of the money reserved for historically Black colleges and universities and other minority-serving institutions. Biden's proposal also calls for a new Department of Energy national lab focused on the climate that would be affiliated with a historically Black school. ""This administration is committed to making the transition to clean energy an inclusive transition, offering benefits to every community because not every community has benefited,"" said Secretary Granholm, noting that many communities of color have been disproportionately harmed by pollution. ""We want to make sure that voices are at the table that are representative of the communities who can benefit from this transition."" UPI  |  PHOTOS: Energy Secretary Jennifer Granholm Holds Roundtable at Howard University","ICYMI: Secretary Granholm Says ""We Need Diversity in STEM""",https://www.energy.gov/articles/icymi-secretary-granholm-says-we-need-diversity-stem
2021-04-22,"WASHINGTON, D.C. —  Secretary of Energy Jennifer M. Granholm issued the following statement today on  President Biden’s intent to nominate  Shalanda Baker for Director of the Office of Minority Economic Impact, Dr. Asmeret Berhe for Director of the Office of Science, and Frank Rose for Principal Deputy Administrator of the National Nuclear Security Administration:  “The Department of Energy needs the sharpest minds guiding our core nuclear, science, and equity missions that protect our planet and lift up our people—and Shalanda, Asmeret, and Frank are the best of the best. These three rockstar nominees bring unparalleled expertise in their respective fields, and share my hair-on-fire sense of urgency about tackling the challenges we face. I am thrilled that President Biden has put their hats in the ring, and I urge the Senate to confirm them quickly so that we can get to work.” About Shalanda Baker Shalanda H. Baker is the Deputy Director for Energy Justice in the Office of Economic Impact and Diversity at the U.S. Department of Energy. Prior to her appointment, she was a Professor of Law, Public Policy and Urban Affairs at Northeastern University. She has spent over a decade conducting research on the equity dimensions of the global transition away from fossil fuel energy to cleaner energy resources. She is the author of over a dozen articles, book chapters, and essays on renewable energy law, energy justice, energy policy, and renewable energy development. In 2016, she received a Fulbright-Garcia-Robles research fellowship to study climate change, energy policy, and indigenous rights in Mexico. She is the Co-Founder and former Co-Director of the Initiative for Energy Justice, an organization committed to providing technical law and policy support to communities on the frontlines of climate change. Her book, Revolutionary Power: An Activist’s Guide to the Energy Transition (Island Press 2021), argues that the technical terrain of energy policy should be the next domain to advance civil rights. She received her B.S. from the United States Air Force Academy and J.D. from Northeastern University School of Law. She obtained her LLM while serving as a William H. Hastie Fellow at the University of Wisconsin School of Law. About Dr. Asmeret Berhe Asmeret Asefaw Berhe is a Professor of Soil Biogeochemistry; the Ted and Jan Falasco Chair in Earth Sciences and Geology; and Interim Associate Dean for Graduate Education at the University of California, Merced. Her research is at the intersection of soil science, global change science, and political ecology with an emphasis on how the soil system regulates the earth’s climate and the dynamic two-way relationship between the natural environment and human communities. She previously served as the Chair of the US National Committee on Soil Science at the National Academies; was a Leadership board member for the Earth Science Women’s Network; and is currently a co-principal investigator in the ADVANCEGeo Partnership – a National Science Foundation funded effort to empower (geo)scientists to respond to and prevent harassment, discrimination, bullying and other exclusionary behaviors in research environments. Her scholarship on how physical processes such as erosion, fire, and changes in climate affect the biogeochemical cycling of essential elements in the earth system and her efforts to ensure equity and inclusion of people from all walks of life in the scientific enterprise have received numerous awards and honors. She is a Fellow of the American Geophysical Union and the Geological Society of America, and a member of the inaugural class of the US National Academies New Voices in Science, Engineering, and Medicine. Asmeret was born and raised in Asmara, Eritrea. She received a B.Sc. in Soil and Water Conservation from the University of Asmara, an M.Sc. in Political Ecology from Michigan State University, and a Ph.D. in Biogeochemistry from the University of California, Berkeley. In 2020 she was named a Great Immigrant, Great American by the Carnegie Corporation of New York. About Frank Rose Frank A. Rose is a senior fellow and co-director of the Center for Security, Strategy, and Technology in the Foreign Policy program at the Brookings Institution.  Prior to joining Brookings, Rose served as U.S. Assistant Secretary of State for Arms Control, Verification, and Compliance from 2014-17. From 2009-14, Rose served as the U.S. Deputy Assistant Secretary of State for Space and Defense Policy. He has also held positions at the U.S. Department of Defense, in the U.S. Congress, and the private sector. Rose received his B.A. in History from American University in 1994 and a M.A. in War Studies from King’s College, University of London in 1999.",Statement by Secretary Granholm on President Biden's Latest Department of Energy Nominees,https://www.energy.gov/articles/statement-secretary-granholm-president-bidens-latest-department-energy-nominees
2021-05-03,"WASHINGTON, D.C. —  The U.S. Department of Energy (DOE) today announced $17.3 million for college internships, research opportunities, and research projects that connect talented science, technology, engineering, and math (STEM) students and faculty with the world-class resources at DOE’s National Laboratories. Awardees represent academic institutions from all across America—including Historically Black Colleges and Universities (HBCUs) and other Minority Serving Institutions (MSIs)—highlighting DOE’s commitment to supporting a highly-skilled, diverse workforce that is equipped to tackle the science, energy, environmental, and national security challenges of today and tomorrow.  “By investing in STEM students and faculty from diverse backgrounds, we can ignite the most creative and innovative ideas to solve our biggest problems and maximize our competitiveness,” said  Secretary of Energy Jennifer M. Granholm . “DOE and the Biden Administration are committed to nurturing a skilled workforce that looks like America, and these awards will help us prepare rising stars everywhere to dream up the very best solutions for our nation and our people.” The awards announced today—including $11.7 million from DOE’s Office of Science, and $5.6 million from its Office of Fossil Energy—will fund the following opportunities: Increasing diversity in STEM fields is a key priority for DOE and the Biden Administration. DOE National Labs and program offices offer  a wide range  of scholarships, educational workshops, and research opportunities geared towards underrepresented communities—including tens of millions of dollars each year from the Office of Science to fund research at MSIs, and recruitment programs through the National Nuclear Security Administration that prepare MSI students for the national nuclear security workforce. In support of these efforts, President Biden’s  American Jobs Plan  calls for $40 billion in upgrading research infrastructure in laboratories across the country—half of which will be reserved for HBCUs and other MSIs, including the creation of a new HBCU-affiliated National Lab focused on climate. The plan will also invest $10 billion in research and development at HBCUs and other MSIs, and $15 billion to create up to 200 centers of excellence that serve as research incubators at HBCUs. The SULI, CCI, and VFP programs are managed by the  Office of Workforce Development for Teachers and Scientists (WDTS)  in the Office of Science. The fossil energy technology projects are managed by the Office of Fossil Energy’s  National Energy Technology Laboratory  (NETL). For more information on STEM outreach and workforce development at the DOE, visit the  STEM Rising website .",DOE Awards $17.3 Million for Student and Faculty Research Opportunities and to Foster Workforce Diversity,https://www.energy.gov/articles/doe-awards-173-million-student-and-faculty-research-opportunities-and-foster-workforce
2021-04-30,"WASHINGTON, D.C. —  The U.S. Department of Energy (DOE) today announced up to $12 million for technologies that can make geothermal systems more efficient for clean, renewable energy production. This funding will help scientists and engineers unlock the full potential of geothermal power to help tackle the climate crisis, and achieve the Biden Administration’s goal of net-zero carbon emissions by 2050.  “Enhanced geothermal systems harness the clean, renewable energy that lives right beneath our feet—available at any time, in any weather, in any part of the country,” said  Secretary of Energy Jennifer M. Granholm . “This new funding will help us tap into its enormous potential to power millions of homes and businesses, reduce carbon emissions, and put thousands to work in greener, good-paying jobs.” Enhanced Geothermal Systems (EGS) are man-made reservoirs created by injecting fluid into “hot rock,” which is heated by the natural warmth of the Earth’s core. The fluid re-opens pre-existing fractures, allowing it to circulate through the hot rock, and bring the heated water to the surface. That hot water becomes steam that spins a turbine, creating clean, renewable energy. The “Innovative Methods to Control Hydraulic Properties of Enhanced Geothermal Systems” funding opportunity will support the research, development, demonstration, and deployment of technologies and techniques to control the fluid flow in EGS reservoirs, enhancing the connectivity of pre-existing fracture networks and optimizing them for heat mining. This ability to customize reservoirs will increase their efficiency and longevity—driving down EGS costs, reducing the risk of development, and accelerating the path towards widespread commercialization. The 2019  GeoVision  study by DOE’s Geothermal Technologies Office (GTO) concluded that with technology improvements like those funded by today’s announcement, geothermal power generation could increase 26-fold, deploying 60 gigawatts-electric (GWe) of clean energy by 2050. Despite that vast potential, there are only 3.7 GWe of geothermal energy currently installed in the United States. GTO is using its research and development portfolio to advance technologies and projects that can rapidly increase that number, while supporting thousands of good-paying jobs for American workers—including those in the oil and gas industries that  already have matching skills and expertise . GTO is looking for applications that address the funding opportunity review criteria in full. Applications are due by 5:00 p.m. ET on June 15, 2021. More information about the funding opportunity  HERE .",DOE Announces $12 Million to Advance Geothermal Energy Technologies,https://www.energy.gov/articles/doe-announces-12-million-advance-geothermal-energy-technologies
2021-04-23,"There is no greater challenge facing our nation and our planet than the climate crisis. That’s why President Biden has laid out the boldest climate agenda in our nation’s history – one that will spur an equitable clean energy economy and cement the United States on a path to net-zero emissions by 2050. To achieve our global climate goals we need cooperation from all major emitters, including oil and gas producing nations, to identify and act on solutions to phase out unabated fossil fuel emissions, while reducing emissions to the maximum extent possible in the interim. For this reason, the U.S. Department of Energy has led on creating a new international forum dedicated to developing long-term strategies to reach global net-zero emissions. Canada, Norway, Qatar, Saudi Arabia, and the United States, collectively representing 40 percent of global oil and gas production, will come together to form a cooperative forum that will develop pragmatic net-zero emission strategies, including methane abatement, advancing the circular carbon economy approach, development and deployment of clean-energy and carbon capture and storage technologies, diversification from reliance on hydrocarbon revenues, and other measures in line with each country's national circumstances.","Joint Statement on Establishing a Net-Zero Producers Forum between the Energy Ministries of Canada, Norway, Qatar, Saudi Arabia, and the United States",https://www.energy.gov/articles/joint-statement-establishing-net-zero-producers-forum-between-energy-ministries-canada
2021-04-29,"WASHINGTON, D.C. —  The U.S. Department of Energy (DOE) today awarded $19 million for 13 projects in traditionally fossil fuel-producing communities across the country to support production of rare earth elements and critical minerals vital to the manufacturing of batteries, magnets, and other components important to the clean energy economy. Facing persistent shortages in domestic supply, the U.S. has been forced to rely on imported materials, leaving clean energy technology production at greater risk of disruption. “The very same fossil fuel communities that have powered our nation for decades can be at the forefront of the clean energy economy by producing the critical minerals needed to build electric vehicles, wind turbines, and so much more,” said  Secretary of Energy Jennifer M. Granholm . “By building clean energy products here at home, we’re securing the supply chain for the innovative solutions needed to reach net-zero carbon emissions by 2050 – all while creating good-paying jobs in all parts of America.” Production of rare earth elements and critical minerals, which serve as key components to several clean energy applications such as magnets in wind turbines and batteries in electric and conventional vehicles, is a prime example of how DOE is supporting regional economic growth and job creation in regions traditionally home to the fossil fuel industry. These funding awards align with last week's recommendations of the  White House Interagency Working Group on Coal and Power Plant Communities and Economic Revitalization , which outlined a national roadmap to partner with local communities to ensure that the shift to a clean energy economy creates good-paying union jobs, spurs economic revitalization, and supports workers. “The coal industry downturn has left many West Virginians without the good-paying jobs they once relied on, which has negatively impacted our state economy. I am pleased that DOE is investing in West Virginia University’s Mid-Appalachian Carbon Ore, Rare Earth and Critical Minerals Initiative, which will work to expand and transition coal resources to other high-value products,” said  U.S. Senator Joe Manchin, Chairman of the Senate Energy and Natural Resources Committee.  “Not only will this project create innovative solutions for a cleaner energy future, but it will also spur economic growth and create good-paying jobs in the Mountain State. As Chairman of the Senate Energy and Natural Resources Committee, I will continue to advocate for funding and resources to support research projects in West Virginia and across the United States that help our coal communities.”  “I commend Penn State for its work to receive this grant,” said  U.S. Senator Bob Casey . “Penn State’s world class research is a source of pride in the Commonwealth. Once again, its students and community of scholars has distinguished itself in the clean energy field. I have no doubt that this research will contribute to our nation’s development of clean energy.” “I am pleased Virginia Tech’s Center for Coal and Energy Research will receive federal funding to advance their research of natural resources found right here in the Commonwealth and help discover innovative uses for these resources,” said  U.S. Senator Mark Warner.  “This project will not only increase environmental sustainability in our communities, it will also help boost economic and job opportunity in the region.” “North Dakota provides a vast array of critical resources for the United States,” said  U.S. Senator John Hoeven . “This grant will support the University of North Dakota’s Energy & Environmental Research Center’s efforts to continue advancing the production of rare-earth elements, critical minerals and other carbon products from North Dakota lignite coal. This is vital as we continue adding value to our abundant lignite coal resources, enhancing domestic production to reduce reliance on foreign imports and supporting economic growth across the region.” “West Virginia has a great opportunity to become a leader in rare earth element and critical mineral production. With a focus on new technology, we can extract elements essential to manufacturing, technology, and energy production from acid mine drainage in our communities. Efforts like this will help revitalize localities in our state, while also cleaning up abandon mine sites. Last year, I authored language in the National Defense Authorization Act to encourage the Department of Defense to submit a report to Congress on the domestic supply chain and expansion of stockpiling these elements, and I’m thrilled to see WVU become the recipient of additional funding. I have also helped introduce legislation to improve the quality and timeliness of critical mineral production permitting on federal land. Taking advantage of this opportunity is vital to the future of West Virginia. I’m confident that WVU will continue to expand our understanding and operations in the field of rare earth element and critical mineral extraction,” said  U.S. Senator Shelley Moore Capito. “China’s near monopoly over rare earth metals makes the rest of the world dependent on them. With this funding, Utah will continue to play a vital role in United States’ production of rare earth metals and critical minerals, which will help rebuild our supply chain and decrease our dependence on China. Importantly, these projects will also create new jobs and spur economic growth for communities in the Uintah Basin,” said  U.S. Senator Mitt Romney. “The work at the Virginia Center for Coal and Energy Research has led to exciting breakthroughs in tapping sources of the rare earth minerals so integral to modern technology, used in everything from advanced batteries to smartphones,” said  U.S. Representative Morgan Griffith . “DOE’s award advances research that could support jobs in Appalachia and shore up supply chains vital to our country’s security and economic growth.” Selected projects fall under 12 areas of interest, corresponding to the selected U.S. basins that have the potential to produce rare earth elements and critical minerals. Projects will be managed by DOE’s Office of Fossil Energy’s  National Energy Technology Laboratory  (NETL). The Office of Fossil Energy (FE) funds research and development projects to reduce the risk and cost of advanced fossil energy technologies and further the sustainable use of the nation’s fossil energy resources. To learn more about the programs within FE, visit the  website  or  sign up  for news announcements. ",DOE Awards $19 Million for Initiatives to Produce Rare Earth Elements and Critical Minerals,https://www.energy.gov/articles/doe-awards-19-million-initiatives-produce-rare-earth-elements-and-critical-minerals
2021-04-23,"WASHINGTON, D.C. —  In connection with a  White House report  on economic revitalization in coal and power plant communities, the U.S. Department of Energy (DOE) today announced $109.5 million in funding for projects that directly support job creation in communities impacted by changes in the energy economy—the first results of a government-wide initiative launched by President Biden in the first week of his administration to boost the economic potential of coal and power plant communities. The White House Interagency Working Group on Coal and Power Plant Communities and Economic Revitalization, housed within DOE, also selected a new Executive Director to spearhead interagency efforts.  “The coal and power plant workers who built our nation can play a huge role in making America’s clean energy future a reality, and this report outlines just the first steps the Biden Administration is taking to make sure they have those opportunities—right in their communities,” said  Secretary of Energy Jennifer M. Granholm . “This new DOE funding will help spark next-generation industries that these workers can not only participate in, but lead, and I look forward to working together on investments and strategies that empower, revitalize, and retain and create jobs in our energy communities.” “For generations, our coal miners have sacrificed their health and safety to mine the coal that forged the steel and provided the power that made the United States the greatest nation in the world,” said  Senator Joe Manchin . “I am encouraged to see President Biden acknowledge these contributions and start to allocate the resources that will be required to reinvest in these communities who have suffered huge job losses. I applaud today’s funding announcements for innovative technologies to tackle climate change and provide new opportunities for these hard-hit areas. In addition, the up to $15 million investment in important research conducted at West Virginia University is a small but first step in the right direction and I will continue working with the Administration to ensure additional, significant investments throughout West Virginia to provide meaningful opportunity and economic growth.” The Interagency Working Group named Brian Anderson as its Executive Director. A longtime resident of West Virginia and a descendant of coal miners, Anderson serves as director of DOE’s National Energy Technology Laboratory with facilities in Morgantown, West Virginia, Pittsburgh, Pennsylvania, and Albany, Oregon, and is a renowned scientist with extensive expertise in technology development for carbon management in hard-to-decarbonize sectors. In addition, DOE identified senior staff from its Office of Economic Impact and Diversity, Office of Energy Jobs, and Office of Indian Energy who will also support the work of the Interagency Working Group.   “It is a great honor to be named Executive Director of this essential effort,” said  Anderson . “I am excited to immediately begin this important work, reaching across the agencies of the federal government to ensure that the economies of traditional energy and power plant communities are strengthened, and my first priority will be to engage people where they work and live so that these hard hit communities have a hand in developing opportunities and solutions for their future.” Complementing investments in hydrogen, carbon capture, and environmental remediation proposed in the  American Jobs Plan , the Interagency Working Group report lays out a national roadmap to partner with local communities to ensure that the shift to a clean energy economy creates good-paying union jobs, spurs economic revitalization, and supports energy workers in coal, oil and gas and power plant communities. In the near term, it recommends creating jobs through remediation projects for oil and gas wells and coal mines — work that energy workers are well-suited for and allows economic development of under-utilized land. For the medium and long terms, the report calls for investing in low-carbon industries through technology such as carbon capture and hydrogen. The $109.5 million in funding DOE announced today will support innovative projects that will retain and rebuild jobs in energy communities, including: The Interagency Working Group also identified nearly $38 billion in existing federal funding that could be accessed by energy communities for infrastructure, environmental remediation, union job creation, community revitalization, and jobs well-suited to support hard-hit energy communities. As part of this effort, DOE’s Loan Programs Office released a  factsheet  to facilitate access to $8.5 billion in funding for deployment of carbon capture technology to enable low-carbon manufacturing of cement, steel, and other industrial products in addition to power plants. The Interagency Working Group’s report, as outlined by President Biden’s January 27  executive order  on tackling the climate crisis, identifies 25 communities across the country hardest hit by coal mine and power plant closures and calls for these areas to be priorities for both existing and future federal investment. Read the full report of the Interagency Working Group on Coal and Power Plant Communities and Economic Revitalization  HERE .",DOE Announces $109.5 Million to Support Jobs and Economic Growth in Coal and Power Plant Communities,https://www.energy.gov/articles/doe-announces-1095-million-support-jobs-and-economic-growth-coal-and-power-plant
2021-05-04,"WASHINGTON, D.C. —  The U.S. Department of Energy (DOE) today announced a slate of new efforts, including $15.5 million in new funding, to support solar energy deployment in underserved communities and build a diverse, skilled workforce. These initiatives will help families and businesses that have been left behind in the clean energy transition to reap the benefits of cheaper power and access to highly-skilled jobs. Together, these efforts reflect the Biden Administration’s commitment to launching every American worker and community into a greener future. “Solar energy is one of the fastest, easiest, and cheapest paths to President Biden’s goal of 100% clean electricity by 2035—and now, it’s time to double down on our efforts to make those benefits available to communities in every pocket of the country,” said  Secretary of Energy Jennifer M. Granholm . “These new initiatives and funding will jumpstart a long-overdue conversation around how DOE can leverage solar energy’s explosive growth to create solutions and jobs that lift up Americans who have been left behind, and create a future filled with JEDI.” There are nearly 100 gigawatts DC (GW) of solar capacity currently installed across the country, and as much as 500 to 600 GW will be installed over the next 10 years. While DOE has continued to accelerate solar deployment by setting and meeting  ambitious cost goals , the “soft costs” associated with non-hardware challenges—like design, siting, permitting, installation, and financing—ultimately contribute to its overall cost to consumers. Increasing equitable access to solar includes driving down these costs, as well as developing business models like community solar that are designed to engage low- and moderate-income households. DOE’s Solar Energy Technologies Office (SETO) will leverage existing technical assistance, community solar, and workforce development programs to tackle these challenges, as well as seek input from a diversity of stakeholders on solutions that address the needs of underserved communities. Funding Technical Assistance for Underserved Communities Through two longstanding programs— SolSmart  and the  Solar Energy Innovation Network —DOE has helped hundreds of cities, counties, states, utilities, and electric system operators tackle barriers to solar deployment, and will now emphasize assistance for underserved communities. Leveraging Benefits of Community Solar Projects Community solar can expand affordable access to solar to all Americans, by allowing everyone to share in the benefits regardless of whether their homes can support rooftop solar panels. Community solar projects are on the rise and span 39 states and the District of Columbia, but the bulk are in just four states and represent about 4% of solar capacity. In 2019, DOE launched the  National Community Solar Partnership —a $15 million initiative with over 500 partners and a goal to expand affordable community solar access to every U.S. household by 2025. To date, the Partnership has provided technical assistance to over 100 members. Increasing Workforce Diversity and Skills Training A diverse, skilled, and supported solar workforce is essential for developing clean energy solutions that benefit all Americans. Yet today, one-third of U.S. solar companies have reported difficulty in hiring qualified workers. For more information about SETO and its research priorities around soft costs, click  HERE . For details on upcoming information sessions about the announced funding opportunities: ",DOE Launches Initiatives to Accelerate Solar Deployment in Underserved Communities,https://www.energy.gov/articles/doe-launches-initiatives-accelerate-solar-deployment-underserved-communities
2021-04-22,"The United States and India are launching the “U.S.-India Climate and Clean Energy Agenda 2030 Partnership.” Led by President Biden and Prime Minister Modi, the Partnership will represent one of the core venues for U.S.-India collaboration and focus on driving urgent progress in this critical decade for climate action. Both the United States and India have set ambitious 2030 targets for climate action and clean energy. In its new nationally determined contribution, the United States has set an economy-wide target of reducing its net greenhouse gas emissions by 50–52 percent below 2005 levels in 2030. As part of its climate mitigation efforts,  India has   set a target of installing 450 GW of renewable energy by 2030. Through the Partnership, the United States and India are firmly committed to working together  in achieving  their ambitious climate and clean energy targets and to strengthen ing  bilateral collaboration across climate and clean energy. The Partnership will aim to mobilize finance and speed clean energy deployment; demonstrate and scale innovative clean technologies needed to decarbonize sectors including industry, transportation, power, and buildings; and build capacity to measure, manage, and adapt to the risks of climate-related impacts. The Partnership will proceed along two main tracks: the Strategic Clean Energy Partnership and the Climate Action and Finance Mobilization Dialogue, which will build on and subsume a range of existing processes. Through this collaboration, the United States and  India   aim to demonstrate how the world can align swift climate action with inclusive and resilient economic development, taking into account national circumstances and sustainable development priorities.",U.S.-India Joint Statement on Launching the U.S.-India Climate and Clean Energy Agenda 2030 Partnership,https://www.energy.gov/articles/us-india-joint-statement-launching-us-india-climate-and-clean-energy-agenda-2030
2021-04-28,"WASHINGTON, D.C. —  Secretary of Energy Jennifer M. Granholm issued the following statement today on  President Biden’s intent to nominate  Dr. Geraldine Richmond for Under Secretary for Science, Andrew Light for Assistant Secretary for International Affairs, and Sam Walsh for General Counsel.  “I am thrilled by President Biden’s decision to nominate Dr. Geraldine Richmond, Andrew Light, and Sam Walsh for these key leadership positions at the Department of Energy. From solving environmental challenges through the power of the basic sciences, to guiding some of America’s most critical international climate negotiations, to helping the federal government navigate the clean energy transition, each of these nominees brings a wealth of experience that will be instrumental as we work towards achieving the President’s ambitious climate goals. I’m so grateful that they’re willing to serve our nation, and look forward to their speedy confirmation.” About Dr. Geraldine Richmond Geraldine Richmond is the Presidential Chair in Science and Professor of Chemistry at the University of Oregon. Bridging the fields of chemistry and physics, Richmond’s research focuses on understanding the molecular characteristics of water surfaces, studies that have relevance to environmental issues such as oil remediation, atmospheric chemistry and alternative energy sources. Her teaching and extensive outreach efforts have focused on science communication and building a strong and inclusive workforce. She has been honored by numerous honors and awards including the National Medal of Science from President Obama (2016), the Presidential Award for Excellence in Science, Mathematics and Engineering Mentoring from President Clinton (1997) and the American Chemical Society’s highest honor, the Priestley Medal (2018). Richmond is a member of the National Academy of Sciences, and is a Fellow of the American Academy of Arts and Sciences, the American Chemical Society, the American Physical Society and the Association for Women in Science. Richmond has served in many leadership roles throughout her career including as Chair of the Department of Energy's Basic Energy Sciences Advisory Committee (1998-2003), as U.S. Science Envoy to the Lower Mekong River Countries of Vietnam, Laos, Cambodia, Burma and Thailand (2015-2016) and as President of both the American Association for the Advancement of Science (2015) and Sigma Xi, the Honorary Scientific Research Society (2019-2020). She was appointed to the National Science Board by President Obama (2012-2018) and reappointed by President Trump (2018-present). Richmond is the Founding Director of COACh (1998-present), a grass-roots organization that has helped over 25,000 women scientists and engineers in career advancement in the U.S. and over two dozen developing countries. A native of Kansas, Richmond received her B.S. in chemistry from Kansas State University in 1975 and her Ph.D. in physical chemistry at the University of California, Berkeley in 1980.  About Andrew Light Andrew Light, Ph.D., joined the Biden Administration in January as the Principal Deputy Assistant Secretary for International Affairs at the Department of Energy. Currently, Light is on a leave of absence from his position as University Professor of Philosophy, Public Policy, and Atmospheric Sciences at George Mason University. He previously served as a Distinguished Senior Fellow at the World Resources Institute in Washington, D.C. In both positions, he worked at the intersection of U.S. and international climate and energy policy. From 2013-2016 he served as Senior Adviser and India Counselor to the U.S. Special Envoy on Climate Change and on the staff of Secretary of State John Kerry’s Office of Policy Planning in the U.S. Department of State. In this capacity, he was Director of the U.S.-India Joint Working Group for Combating Climate Change, Chair of the U.S. Interagency Climate Working Group for negotiation of the Sustainable Development Goals, and served on the senior strategy team for the United Nations (UN) climate negotiations, among other duties. In recognition of this work, Light shared a Superior Honor Award from the U.S. Department of State in July 2016 for “contributions to the U.S. effort that made the 21st Conference of the Parties to the UN Framework Convention on Climate Change in Paris, where the landmark Paris Agreement was concluded, a historic success.” Light has authored or co-authored dozens of policy reports on international energy and climate issues, and he has been a long-time champion of work demonstrating the benefits of international climate and energy cooperation on the employment opportunities, security, environmental quality, and health of the American people. As the grandson of two West Virginia coal miners, his understanding of the vital necessity for a strong U.S. energy economy is rooted in his childhood. He grew up in rural Georgia, where he formed an abiding appreciation of the environment, completing his undergraduate degree at Mercer University, graduate studies at the University of California at Riverside, and a post-doctoral fellowship at the University of Alberta. He lives with his family in Washington, D.C. About Sam Walsh Samuel T. Walsh is an attorney and former Deputy General Counsel for Energy Policy at the U.S. Department of Energy (DOE). In his more than six years at DOE during the Obama Administration he also served as Associate General Counsel and Senior Legal Advisor to the General Counsel. Walsh is currently a lawyer in private practice at Harris, Wiltshire & Grannis LLP. Prior to his service at DOE, he also worked as an associate in the energy group at Hogan Lovells LLP and as a law clerk to the Hon. Judge David S. Tatel of the U.S. Court of Appeals for the District of Columbia Circuit. Walsh holds a B.A. from Yale College, an M.P.A. from the Harvard Kennedy School, and a J.D. from Harvard Law School. Originally from New York, Walsh now lives in Washington D.C. with his wife and two children.",Statement by Secretary Granholm on President Biden's Latest Department of Energy Nominees,https://www.energy.gov/articles/statement-secretary-granholm-president-bidens-latest-department-energy-nominees-0
