Course Name,Course Acronym,Course Code,Prerequisites,Antirequisites,Semester
Foundations of Biology,FOB,BIO101,None,None,Winter
Cell Biology and Bio-Chemistry,CBBC,BIO211,None,BIO511,Monsoon
Introduction to Quantitative Biology,IQB,BIO213,MTH100,None,Winter
Genetics and Molecular Biology,GMB,BIO214,None,None,Monsoon
Practical Bioinformatics,PB,BIO221,None,None,Winter
Algorithms in Bioinformatics,ABIN,BIO321,CSE222,None,Monsoon
Biophysics,BioP,BIO361,None,None,Monsoon
Stochastic Simulations in Systems Biology and Biophysics,SSSBB,BIO506,BIO531,None,Monsoon
Cell Biology and Bio-Chemistry,CBB,BIO511,None,BIO211,Monsoon
Foundations of Modern Biology,FOMB,BIO512,None,"BIO601, BIO214",Monsoon
Algorithms in Computational Biology,ACB,BIO522,None,None,Monsoon
Chemoinformatics,CHI,BIO523,None,None,Winter
Introduction to Mathematical Biology,IMB,BIO531,MTH100,BIO303/BIO503,Winter
Network Biology,NB,BIO532,None,None,Monsoon
Systems and Synthetic Biology,S&SB,BIO533,"BIO531, BIO501",None,Winter
Introduction to Computational Neuroscience,ICN,BIO534,None,BIO505,Winter
Data Sciences for Genomics,DSG,BIO541,None,None,Winter
Machine Learning for Biomedical Applications,MLBA,BIO542,None,None,Monsoon
Big Data Mining in Healthcare,BDMH,BIO543,None,None,Winter
Computational Gastronomy,CGAS,BIO544,None,None,Monsoon
Biostatistics,BioStats,BIO545,None,None,Winter
Computing for Medicine,CM,BIO546/CSE585,None,None,Monsoon
Computer Aided Drug Design,CADD,BIO561,None,None,Winter
Network Science,NS,CSE655,None,None,Winter
Communication Skills,COM,COM101,None,None,Monsoon
Technical Communication,TCOM,COM301A,None,None,Monsoon
Introduction to Programming,IP,CSE101,None,None,Monsoon
Data Structures & Algorithms,DSA,CSE102,CSE101,None,Winter
Computer Organization,CO,CSE112,ECE111,None,Winter
Discrete Mathematics,DM,CSE121,None,None,Monsoon
Introduction to Intelligent Systems,IIS,CSE140,None,None,Winter
Advanced Programming,AP,CSE201,"CSE101, CSE102",None,Monsoon
Fundamentals of Database Management System,DBMS,CSE202,CSE102,None,Winter
Algorithm Design and Analysis,ADA/ALD,CSE222,CSE102,None,Winter
Operating Systems,OS,CSE231,CSE102,None,Monsoon
Computer Networks,CN,CSE232,"CSE101, CSE231, CSE222",None,Monsoon
Network Administration,NAD,CSE233,None,None,Winter
Compilers,CMP,CSE301/CSE601,"MTH100, CSE101, CSE201, CSE102",None,Monsoon
Modern Algorithm Design,MAD,CSE319/CSE519,CSE222,None,Monsoon
Advanced Algorithms,AA,CSE320/CSE520,CSE102,None,Monsoon
Theory of Computation,ToC,CSE322,CSE121 or MTH210,None,Winter
Computer Graphics,CG,CSE333/CSE533,CSE101,None,Monsoon
Statistical Machine Learning,SML,CSE342/CSE542,"CSE101, MTH201",PatternRecognition,Winter
Machine Learning,ML,CSE343/CSE543,"MTH100, MTH201, CSE101, MTH203",None,Monsoon/Winter
Computer Vision,CV,CSE344/CSE544/ECE344/ECE544,MTH100,None,Winter
Foundations of Computer Security,FCS,CSE345/CSE545,None,None,Monsoon
Network Security,NSC,CSE350/CSE550,None,None,Monsoon
Networks and System Security II,NSS-II,CSE354/CSE554,"CSE231, CSE232",None,Winter
Complexity Theory,CMPT,CSE421/CSE621,"CSE102, MTH201, CSE322, CSE121",None,Monsoon
Advanced Biometrics,BIOM,CSE441/CSE541,CSE343/CSE543,None,Winter
Designing Human Centered Systems,DHCS,CSE501,None,None,Monsoon
Foundations of Parallel Programming,FPP,CSE502,"CSE101, CSE102, CSE201",None,Winter
Program Analysis,PA,CSE503,"CSE102, CSE201",None,Monsoon
Decision Procedures,DP,CSE504,"CSE102 or CSE201, CSE121 or MTH210",None,Winter
Data Mining,DMG,CSE506,"CSE202, CSE101, MTH100, MTH201",None,Monsoon
Database System Implementation,DBSI,CSE507,"CSE202, CSE102",None,Monsoon
Information Retrieval,IR,CSE508,"CSE102, CSE201, CSE202",None,Winter
Big Data Analytics,BDA,CSE510,CSE202,None,Winter
Computer Architecture,CA,CSE511/ECE511,None,None,Monsoon
Randomized Algorithms,RA,CSE523,"CSE222, CSE121, MTH201",None,Monsoon
Theory of Modern cryptography,TMC,CSE524,None,None,Monsoon
Introduction to Graduate Algorithms,GA,CSE525,CSE222,None,Monsoon
Convex Optimization,COO,MTH377,MTH100,None,Winter
Approximation Algorithms,AAG,CSE529,CSE222,None,Winter
Distributed Systems Security,DSS,CSE530,"CSE222, CSE231, CSE202",None,Winter
Multi-Agent Systems,MAS,CSE531,None,None,Monsoon/Winter
Mobile Computing,MC,CSE535,CSE101,None,Monsoon
Wireless Networks,WN,CSE538/ECE538,CSE232,None,Winter
Applied Cryptography,AC,CSE546,CSE121,None,Monsoon/Winter
Security Engineering,SE,CSE552,CSE231,None,Monsoon/Winter
Introduction to Spatial Computing,ISC,CSE555,"CSE102, CSE202",None,Monsoon
Natural Language Processing,NLP,CSE556,CSE101,None,Monsoon
Data Science,DSc,CSE558,CSE101,None,Monsoon
Mining Large Networks,MLN,CSE559,"CSE222, CSE101, MTH201",None,Winter
GPU Computing,GPU,CSE560,CSE101,None,Winter
Probabilistic Graphical Models,PGM,CSE561,MTH201,None,Winter
Advanced Computer Vision,ACV,CSE562,CSE344/CSE544/ECE344/ECE544,None,Monsoon
Multimedia Computing and Applications,MCA,CSE563,None,None,Winter
Reinforcement Learning,RL,CSE564,MTH201,None,Monsoon
Software Defined Networking,SDN,CSE565,CSE232,None,Monsoon
Mobile and Middleware Systems,MMS,CSE566/DES5MMS,CSE535,None,Monsoon
Virtual Reality,VR,CSE570,None,None,Winter
Introduction to Media Computing,IMC,CSE571,None,None,Monsoon/Winter
Smart Sensing for Internet of Things (IoT),SSIoT,CSE576,None,None,Monsoon
Advanced Internet of Things,AIOT,CSE577,None,None,Winter
Ontology Modeling,OM,CSE580A,CSE102,None,Monsoon/Winter
"Systems Analysis, Design and Requirements Engineering",SADRE,CSE581 ,None,None,Winter
Software Production Evolution and Maintenance,SPEM,CSE582,None,None,Monsoon
Software Development using Open Source,SDOS,CSE583,None,None,Monsoon
Program Verification,PV,CSE584,CSE121 or MTH210,None,Monsoon
Geometry Processing,GP,CSE5GP,CSE101,None,Monsoon/Winter
Object Oriented Programming and Design,OOPD,CSE600A/ECE600A,None,None,Monsoon
Knowledge Graphs in Practice,KG,CSE605A,CSE508 or CSE551,None,Monsoon
Data Warehouse,DW,CSE606,CSE202,None,Winter
Data Lifecycle Management,DLM,CSE606A,CSE343/CSE543,None,Monsoon
Statistical Computation,SComp,CSE609,MTH201,None,Winter
Introduction to Quantum Computing,IQC,CSE622,MTH100,None,Winter
Advanced Operating Systems,AOS,CSE631,CSE231,None,Winter
Semantic Web,Sweb,CSE632,"CSE101, CSE202",None,Winter
Robotics,IRob,CSE633/ECE670,None,None,Winter
Social Robotics,SR,CSE633A,None,None,Winter
Parallel Runtimes for Modern Processors,PRMP,CSE634,"CSE201, CSE231",None,Monsoon
Communication Networks,COMN,CSE636/ECE636,MTH201,None,Winter
Collaborative Filtering,CF,CSE640,MTH100,None,Monsoon
Deep Learning,DL,CSE641,None,None,Winter
Advanced Machine Learning,AML,CSE642,"MTH201, CSE343/CSE543, CSE342/CSE542",APRML,Monsoon
Artificial Intelligence,AI,CSE643,CSE102,None,Monsoon
Privacy and Security in Online Social Media,PSOSM,CSE645,None,None,Winter
Topics in Adaptive Cybersecurity,TAC,CSE651,CSE345/CSE545,None,Monsoon
Information Integration and Applications,IIA,CSE656,CSE202,None,Monsoon
Affective Computing,AFC,CSE661,"CSE101, CSE102, CSE201",None,Monsoon
Special Topics in Computer Vision,SCV,CSE662A,ECE350,None,Winter
Edge AI,EAI,CSE663,"CSE343/CSE543, CSE342/CSE542",None,Winter
