author,image,name,price
Barack Obama,"https://images-na.ssl-images-amazon.com/images/I/91uwocAMtSL._AC_UL200_SR200,200_.jpg",A Promised Land,$23.96
Conor Riordan,"https://images-na.ssl-images-amazon.com/images/I/81X%2Bum3qGrL._AC_UL200_SR200,200_.jpg",Wacky Waving Inflatable Tube Guy (RP Minis),$7.99
Crazy Corey,"https://images-na.ssl-images-amazon.com/images/I/71ZP2CXERjL._AC_UL200_SR200,200_.jpg",The Try Not to Laugh Challenge - Would Your Rather? - EWW Edition,$4.89
Rachel Maddow,"https://images-na.ssl-images-amazon.com/images/I/81LtoDMFyeL._AC_UL200_SR200,200_.jpg","Bag Man: The Wild Crimes, Audacious Cover-up, and Spectacular Downfall of a Brazen Crook in the White House",$17.65
Ann Whitford Paul,"https://images-na.ssl-images-amazon.com/images/I/817T4J3dzhL._AC_UL200_SR200,200_.jpg",If Animals Kissed Good Night,$4.79
Bill O'Neill,"https://images-na.ssl-images-amazon.com/images/I/71EEdvsvd1L._AC_UL200_SR200,200_.jpg","Interesting Stories For Curious People: A Collection of Fascinating Stories About History, Science, Pop Culture and Just About Anything Else You Can Think of",$11.81
Dinah Bucholz,"https://images-na.ssl-images-amazon.com/images/I/91imiYtCBTL._AC_UL200_SR200,200_.jpg",The Unofficial Harry Potter Cookbook: From Cauldron Cakes to Knickerbocker Glory--More Than 150 Magical Recipes for Wizards and Non-Wizards Alike (Unofficial Cookbook),$10.75
Jeff Kinney,"https://images-na.ssl-images-amazon.com/images/I/71Ks%2B8mKq2L._AC_UL200_SR200,200_.jpg",The Deep End (Diary of a Wimpy Kid Book 15),$7.38
Ernest Cline,"https://images-na.ssl-images-amazon.com/images/I/811W9hHXiwL._AC_UL200_SR200,200_.jpg",Ready Player Two: A Novel,$15.82
Matthew McConaughey,"https://images-na.ssl-images-amazon.com/images/I/610O4MLOT2L._AC_UL200_SR200,200_.jpg",Greenlights,$18.71
M Prefontaine,"https://images-na.ssl-images-amazon.com/images/I/812F2oVcq5L._AC_UL200_SR200,200_.jpg",Difficult Riddles For Smart Kids: 300 Difficult Riddles And Brain Teasers Families Will Love (Books for Smart Kids),$5.48
Gag Gifts For Good Causes,"https://images-na.ssl-images-amazon.com/images/I/61jtjthYPdL._AC_UL200_SR200,200_.jpg",2021 Pooping Pooches White Elephant Gag Gift Calendar,$16.99
Dav Pilkey,"https://images-na.ssl-images-amazon.com/images/I/71c1LRLBTBL._AC_UL200_SR200,200_.jpg",Dog Man: Grime and Punishment: From the Creator of Captain Underpants (Dog Man #9) (9),$6.49
Hopscotch Girls,"https://images-na.ssl-images-amazon.com/images/I/71AIzioFxTL._AC_UL200_SR200,200_.jpg","I Am Confident, Brave & Beautiful: A Coloring Book for Girls",$8.22
America's Test Kitchen Kids,"https://images-na.ssl-images-amazon.com/images/I/91mEDmiAioL._AC_UL200_SR200,200_.jpg",The Complete Cookbook for Young Chefs: 100+ Recipes that You'll Love to Cook and Eat,$12.17
Bob Ross,"https://images-na.ssl-images-amazon.com/images/I/615SY61-25L._AC_UL200_SR200,200_.jpg",Bob Ross Bobblehead: With Sound! (RP Minis),$6.85
