
"
","
","18,329,647","+31,735","439,159","+1,081","11,119,303","+17,861","6,771,185","32,252",North America,"
"
"
","
","17,906,580","+62,578","307,244","+1,022","15,811,601","+64,047","1,787,735","28,258",Asia,"
"
"
","
","11,713,297","+1,876","335,872",+86,"10,443,587","+1,377","933,838","16,789",South America,"
"
"
","
","19,139,012","+135,941","441,387","+2,550","8,798,938","+123,137","9,898,687","27,030",Europe,"
"
"
","
","2,321,940","+1,554","54,992",+27,"1,978,547",+987,"288,401","2,533",Africa,"
"
"
","
","46,290",+7,"1,032","33,194",+6,"12,064",25,Australia/Oceania,"
"
"
","
",721,15,706,0,0,"
"
World,"69,457,487","+233,691","1,579,701","+4,766","48,185,876","+207,415","19,691,910","106,887","8,911",202.7,All,"
"
1,"15,838,431","+16,817","296,959 ",+239,"9,235,316","+7,783","6,306,156","27,312","47,726",895,"213,241,813","642,566", ,North America,21,"1,118",2
2,"9,775,746","+13,420","141,917 ",+182,"9,262,857","+18,352","370,972","8,944","7,053",102,"150,759,726","108,775", ,Asia,142,"9,766",9
3,"6,730,118","179,032 ","5,901,511","649,575","8,318","31,563",840,"25,700,000","120,529", ,South America,32,"1,191",8
4,"2,569,126","+27,927","45,280 ",+562,"2,033,669","+25,877","490,177","2,300","17,601",310,"81,021,364","555,084", ,Europe,57,"3,224",2
5,"2,324,216","56,648 ","173,247","2,094,321","3,041","35,572",867,"28,023,593","428,905", ,Europe,28,"1,153",2
6,"1,770,149","61,739 ","997,895","710,515","3,320","29,296","1,022","23,504,588","389,005", ,Europe,34,979,3
7,"1,766,819","62,566 ",N/A,N/A,N/A,"1,272","25,966",919,"46,344,703","681,103", ,Europe,39,"1,088",1
8,"1,725,473","47,019 ",N/A,N/A,N/A,"2,179","36,898","1,005","24,101,272","515,394", ,Europe,27,995,2
9,"1,475,222","40,222 ","1,311,488","123,512","3,688","32,509",886,"4,145,226","91,348", ,South America,31,"1,128",11
10,"1,392,133","38,308 ","1,287,597","66,228","2,376","27,232",749,"6,855,035","134,093", ,South America,37,"1,334",7
11,"1,251,868","+9,615","20,871 ",+167,"922,100","+20,000","308,897","4,278","14,921",249,"30,494,036","363,446", ,Europe,67,"4,020",3
12,"1,205,229","+11,974","111,655 ",+781,"889,168","+8,118","204,406","3,515","9,305",862,"3,086,510","23,829", ,North America,107,"1,160",42
13,"1,102,096","+13,749","21,630 ",+470,"792,119","+23,878","288,347","1,775","29,134",572,"6,586,361","174,112", ,Europe,34,"1,749",6
14,"1,083,023","+10,403","51,496 ",+284,"778,167","+12,528","253,360","5,768","12,822",610,"6,568,472","77,766", ,Asia,78,"1,640",13
15,"977,312","36,455 ","912,501","28,356","1,016","29,461","1,099","5,204,299","156,883", ,South America,34,910,6
16,"925,342","15,531 ","447,361","462,450","5,901","10,920",183,"20,294,377","239,495", ,Asia,92,"5,456",4
17,"858,714","+13,371","14,470 ",+266,"465,021","+13,903","379,223",177,"19,688",332,"4,838,979","110,944", ,Europe,51,"3,014",9
18,"828,598","22,574 ","754,658","51,366",546,"13,894",379,"5,690,263","95,415", ,Africa,72,"2,642",10
19,"598,933","+6,033","18,336 ",+165,"491,975","+4,530","88,622","2,180",67,"6,200,252","22,563", ,Asia,459,"14,987",44
20,"597,643","+3,071","17,603  ",+96,"40,541",+283,"539,499",662,"51,468","1,516","6,191,181","533,174", ,Europe,19,660,2
21,"585,685","+8,720","9,902 ",+61,N/A,N/A,N/A,491,"34,147",577,"5,077,285","296,023", ,Europe,29,"1,732",3
22,"571,253","+1,380","12,526 ",+25,"501,967","+2,121","56,760",218,"14,065",308,"3,803,674","93,652", ,Asia,71,"3,242",11
23,"566,440","+1,662","15,774 ",+84,"540,288","+1,117","10,378",671,"29,520",822,"5,659,403","294,937", ,South America,34,"1,216",3
24,"563,333","+6,402","9,226 ",+38,"493,946",+158,"60,161",550,"52,561",861,"3,269,653","305,068", ,Europe,19,"1,162",3
25,"539,107","+7,067","12,948 ",+127,"434,679","+8,863","91,480","1,288","28,107",675,"4,356,567","227,136", ,Europe,36,"1,481",4
26,"485,965","+1,861","6,967 ",+37,"410,452","+4,486","68,546","2,938",42,"2,927,929","17,701", ,Asia,340,"23,742",56
27,"445,540","+1,383","8,701 ",+24,"409,058",+133,"27,781","1,401","4,042",79,"6,122,123","55,544", ,Asia,247,"12,668",18
28,"435,330","12,983 ","350,011","72,336",530,"11,490",343,"12,226,406","322,699", ,North America,87,"2,918",3
29,"429,280","+3,138","8,603 ",+56,"374,301","+2,030","46,376","2,575","1,927",39,"5,906,146","26,513", ,Asia,519,"25,894",38
30,"388,184","6,427 ","341,685","40,072",945,"10,462",173,"4,122,663","111,115", ,Africa,96,"5,773",9
31,"368,695","+5,041","5,791 ",+81,"288,400","+5,400","74,504",456,"42,464",667,"2,985,976","343,906", ,Europe,24,"1,499",3
32,"359,274","6,002 ","349,624","3,648",550,"10,250",171,"9,990,424","285,024", ,Asia,98,"5,840",4
33,"351,579","+1,308","2,937 ",+3,"332,645",+556,"15,997",321,"38,225",319,"64,578,189","7,021,208","9,197,590 ",Asia,26,"3,132",0
34,"335,207","+3,134","5,278 ",+86,"259,548","+4,848","70,381",509,"32,917",518,"4,805,677","471,909", ,Europe,30,"1,929",2
35,"313,688","+2,686","4,163 ",+107,"269,665","+3,850","39,860",585,"34,742",461,"3,329,997","368,807", ,Europe,29,"2,169",3
36,"312,728","7,354 ",+21,N/A,N/A,N/A,252,"30,880",726,"3,718,476","367,182", ,Europe,32,"1,377",3
37,"265,003","+5,415","6,451 ",+171,"77,362","+1,092","181,190",645,"27,463",669,"2,216,880","229,742", ,Europe,36,"1,496",4
38,"250,219","3,206 ","202,058","44,955",392,"24,417",313,"2,755,299","268,870", ,Asia,41,"3,196",4
39,"249,224","+7,393","2,172 ",+56,"31,536","215,516",323,"28,575",249,"1,980,272","227,051", ,Europe,35,"4,016",4
40,"245,650","+1,217","1,663 ",+12,"231,601","+1,064","12,386","8,365",57,"1,813,204","61,746", ,Asia,120,"17,658",16
41,"199,228","13,814 ","174,188","11,226",348,"11,218",778,"676,955","38,116", ,South America,89,"1,286",26
42,"182,977","3,264 ","156,870","22,843",170,"42,117",751,"1,007,599","231,925", ,North America,24,"1,331",4
43,"181,405","+1,255",602 ,+4,"161,741",+657,"19,062","18,245",61,"17,955,603","1,805,875", ,Asia,55,"16,516",1
44,"178,953","+4,570","1,657 ",+43,"148,332","+3,045","28,964","44,898",416,"1,647,979","413,466", ,Asia,22,"2,405",2
